species,decimalLatitude,decimalLongitude,prediction
Acraea violae,15.733913,74.879745,3
Acraea violae,18.666782,72.933326,8
Acraea violae,18.9568,72.8051,8
Acraea violae,18.9574,72.805,8
Acraea violae,19.052258,72.862764,8
Acraea violae,19.1637,72.8831,8
Acraea violae,19.172554,72.942537,8
Acraea violae,19.214706,72.910622,8
Acraea violae,19.270073,72.9554,8
Acraea violae,19.6682,85.0817,4
Acraea violae,19.7883,85.2226,4
Acraea violae,20.1886,85.439,4
Acraea violae,20.1933,85.4387,4
Acraea violae,20.1934,85.4394,4
Acraea violae,20.1977,85.4394,4
Acraea violae,20.1978,85.4393,4
Acraea violae,21.1283,72.733,8
Acraea violae,21.2897,74.8566,8
Acraea violae,21.3212,72.8587,8
Acraea violae,21.321756,72.8581,8
Acraea violae,21.3226,72.8574,8
Acraea violae,21.3227,72.8565,8
Acraea violae,22.518948,88.275467,4
Acraea violae,22.669635,88.361571,4
Acraea violae,22.727876,87.867251,4
Acraea violae,22.891117,88.470664,4
Acraea violae,22.917767,77.722294,0
Acraea violae,22.950178,88.019187,4
Acraea violae,22.973122,86.854657,4
Acraea violae,23.25538,87.85036,4
Acraea violae,23.640378,88.129937,4
Acraea violae,23.6462,88.1216,4
Acraea violae,23.646452,88.119075,4
Acraea violae,23.64992,88.126986,4
Acraea violae,23.658564,88.120552,4
Acraea violae,23.877771,86.911646,4
Acraea violae,25.3559,75.9922,0
Acraea violae,26.231764,92.518353,2
Acraea violae,26.472307,90.568436,2
Acridotheres fuscus,8.481392,76.954224,1
Acridotheres fuscus,11.316755,76.598663,1
Acridotheres fuscus,11.400908,76.714218,1
Acridotheres fuscus,11.664325,78.146014,7
Acridotheres fuscus,14.354177,75.798646,3
Acridotheres fuscus,16.657125,73.521126,8
Acridotheres fuscus,17.763023,81.88765,5
Acridotheres fuscus,19.990187,73.757561,8
Acridotheres fuscus,26.154039,91.662967,2
Acridotheres fuscus,29.346083,79.551918,6
Acridotheres ginginianus,28.496679,77.563049,6
Acridotheres grandis,26.717398,93.422073,2
Acridotheres tristis,9.531465,76.603722,1
Acridotheres tristis,10.023718,76.291944,1
Acridotheres tristis,12.6772,77.9121,7
Acridotheres tristis,12.684012,80.217552,7
Acridotheres tristis,13.072571,77.55838,7
Acridotheres tristis,13.117849,77.544853,7
Acridotheres tristis,13.122275,75.148222,3
Acridotheres tristis,16.648659,73.523666,8
Acridotheres tristis,17.329393,78.39473,5
Acridotheres tristis,18.695627,72.925336,8
Acridotheres tristis,19.137947,72.88446,8
Acridotheres tristis,20.198126,85.447763,4
Acridotheres tristis,22.58676,88.41494,4
Acridotheres tristis,23.640378,88.129937,4
Acridotheres tristis,23.643327,88.118156,4
Acridotheres tristis,23.657744,88.125899,4
Acridotheres tristis,24.733919,92.887802,2
Acridotheres tristis,25.273224,85.455849,4
Acridotheres tristis,26.193979,91.758896,2
Acridotheres tristis,26.752657,88.584166,2
Acridotheres tristis,26.914698,75.731664,0
Acridotheres tristis,28.589525,77.242538,6
Acridotheres tristis,28.70977,77.217054,6
Acritillas indica,11.341497,76.855949,1
Acritillas indica,11.554974,76.134894,1
Acritillas indica,12.455171,75.702663,3
Acritillas indica,13.56631,75.134205,3
Acritillas indica,15.44011,74.106377,3
Acritillas indica,16.56143,73.859549,8
Acritillas indica,16.564677,73.874253,8
Acrocarpus fraxinifolius,12.80566,77.582001,7
Acrocephalus bistrigiceps,20.1962,85.4375,4
Acrocephalus dumetorum,12.04168,76.131996,1
Acrocephalus dumetorum,12.386219,75.529854,3
Acrocephalus dumetorum,12.411209,76.684563,7
Acronychia pedunculata,10.045273,77.155128,1
Acrotrema arnottianum,8.4875,76.952499,1
Actias selene,10.265503,77.545105,1
Actias selene,11.353003,76.795906,1
Actias selene,11.5,79.76667,7
Actias selene,11.949906,76.349701,7
Actias selene,12.24014,75.231873,3
Actias selene,12.6721,75.7828,3
Actias selene,18.74806,73.407219,8
Actias selene,21.196673,80.014366,5
Actias selene,21.451124,82.518585,5
Actias selene,21.578793,79.2873,5
Actias selene,24.582806,72.699127,0
Actias selene,25.347746,76.018882,0
Actias selene,26.756357,88.797478,2
Actias selene,27.145853,93.246261,2
Actias selene,29.898522,79.224635,6
Actias selene,33.371613,74.315193,6
Actinodaphne lanceolata,14.455122,74.710487,3
Actinodaphne lanceolata,18.540813,73.453217,8
Actinodura egertoni,27.136147,92.454926,2
Actinodura egertoni,27.353325,88.514786,2
Actitis hypoleucos,11.271724,76.644723,1
Actitis hypoleucos,13.070292,77.769526,7
Actitis hypoleucos,14.361317,75.890611,3
Actitis hypoleucos,14.455029,75.892607,3
Actitis hypoleucos,23.126587,72.542915,0
Actitis hypoleucos,27.184105,77.507339,6
Acytolepis puspa,11.744481,78.169086,7
Acytolepis puspa,11.934194,75.850986,1
Acytolepis puspa,12.739404,77.786698,7
Acytolepis puspa,12.8949,77.593626,7
Acytolepis puspa,13.064524,77.543495,7
Acytolepis puspa,13.625658,75.153,3
Acytolepis puspa,14.595729,74.846244,3
Acytolepis puspa,14.606078,74.848429,3
Acytolepis puspa,14.976031,74.206193,3
Acytolepis puspa,17.603097,73.847787,8
Acytolepis puspa,18.9569,72.8046,8
Acytolepis puspa,18.985037,73.28923,8
Acytolepis puspa,19.004379,73.282455,8
Acytolepis puspa,19.018236,73.279388,8
Acytolepis puspa,26.704812,89.612467,2
Acytolepis puspa,27.376099,88.628119,2
Acytolepis puspa,30.380373,78.068015,6
Adansonia digitata,19.19824,72.949009,8
Adansonia digitata,26.8666,75.8082,0
Adenanthera pavonina,8.515878,76.950775,1
Adenanthera pavonina,22.987408,87.009662,4
Adenanthera pavonina,26.93454,92.810036,2
Adenia hondala,13.502664,75.090317,3
Adenoon indicum,15.961906,73.99633,3
Adiantum alarconianum,27.028324,76.058615,0
Adiantum capillus-veneris,9.498708,76.329086,1
Aeginetia pedunculata,12.259812,75.449039,3
Aegithalos concinnus,27.155851,92.462997,2
Aegithalos concinnus,29.379686,80.005814,6
Aegithina nigrolutea,11.664325,78.146014,7
Aegithina tiphia,11.505033,76.495552,1
Aegithina tiphia,12.087466,76.709711,7
Aegithina tiphia,12.345368,77.854614,7
Aegithina tiphia,12.424339,76.654488,7
Aegithina tiphia,15.44011,74.106378,3
Aegithina tiphia,19.859384,74.005938,8
Aegithina tiphia,23.627866,88.162376,4
Aegithina tiphia,23.6499,88.1268,4
Aegithina tiphia,26.745993,91.020325,2
Aegle marmelos,8.658916,77.434555,1
Aegle marmelos,10.7131,75.9528,1
Aegle marmelos,19.017799,72.847812,8
Aegle marmelos,20.18396,85.617307,4
Aegle marmelos,20.1897,85.4387,4
Aegle marmelos,22.544,88.341,4
Aegle marmelos,22.9928,86.996,4
Aegle marmelos,24.666245,79.970367,0
Aegle marmelos,25.2396,75.8338,0
Aegle marmelos,26.815916,75.819147,0
Aegocera venulia,26.91457,75.731865,0
Aenhenrya rotundifolia,10.117255,76.926854,1
Aerides crispa,18.698286,73.390045,8
Aerides maculosa,12.144559,75.938179,1
Aerides maculosa,14.606078,74.848427,3
Aerides odorata,26.972099,94.336472,2
Aerides rosea,23.200277,86.126732,4
Aerides rosea,27.206396,95.443893,2
Aeromachus pygmaeus,9.152927,76.786681,1
Aeromachus pygmaeus,26.523852,93.962337,2
Aeschynomene americana,11.572177,76.642715,1
Aesculus assamica,30.316494,78.032188,6
Aesculus indica,30.772616,79.495346,6
